Itterate ,RMS_Error ,MAX_ABS_U_Error ,MAX_ABS_U_Error_position_R ,MAX_ABS_U_Error_position_C ,MAX_ABS_V_Error ,MAX_ABS_V_Error_position_R ,MAX_ABS_V_Error_position_C ,MAX_RS_Error ,MAX_RS_Error_Position_R ,MAX_RS_Error_Position_C ,Bulk_Velocity_ABS_Error ,Bulk_Velocity_ABS_Error_Position_R ,Bulk_Velocity_ABS_Error_Position_C
18200,0.1144133460638516,0.001934325463865471,24,20,0.001324642504043655,32,22,4.019773350927895,5,82,8.354290273978216e-5,23,26
18300,0.10579084497839691,0.0019830407880850713,24,19,0.00130829465911198,32,21,2.547308962151312,9,27,8.360921301600426e-5,24,26
18400,0.10045638163129052,0.00207600293735114,25,18,0.0013140610246041608,32,20,2.449234304712486,18,89,8.778232689586867e-5,24,25
18500,0.11012953589800625,0.0020747106102044863,26,17,0.0012980373326457132,22,14,4.41221699025145,3,77,8.762680435955297e-5,25,24
18600,0.11453397677093166,0.002077590161074127,26,17,0.0013335825814463596,22,13,5.64500203038448,3,76,8.372071366875622e-5,26,23
18700,0.10161085446156418,0.0021504355785213376,27,16,0.0013777619092735314,23,12,3.5814841697666493,51,71,8.787446059295163e-5,26,22
18800,0.09451826655277841,0.002178221598833522,28,15,0.0014123716174316838,22,10,2.589205185443518,11,22,8.84408592750301e-5,27,22
18900,0.09341297540322391,0.0021613073996097874,29,14,0.0014720412427717336,24,10,2.4592111275790898,93,52,8.381855649122332e-5,28,21
19000,0.09571736228894916,0.002156139553171843,30,14,0.001507419908483387,24,9,3.855871664969446,12,20,8.440230042840884e-5,28,20
19100,0.09370393766254222,0.0021780005400076786,31,13,0.0015677553020273264,25,8,2.7522744456416715,93,53,8.559120576475993e-5,29,19
19200,0.09311373646920382,0.0021502508622354456,32,12,0.0016166354121127042,26,7,2.1676340034630335,47,70,8.202394604342727e-5,30,19
19300,0.08755564268757805,0.0020893342326106356,33,11,0.0016516743782451831,26,6,1.586976762610386,13,97,7.79109602895144e-5,31,18
19400,0.11285576282950588,0.0020712817257647047,34,11,0.001693614859915836,28,6,7.420174897722203,14,17,7.804164451589578e-5,31,18
19500,0.11295304155907199,0.002036696236209284,44,17,0.0017460308688863847,28,5,7.063252574937157,46,69,7.594166533616534e-5,32,17
