Itterate ,Time ,RMS_Error ,MAX_ABS_U_Error ,MAX_ABS_U_Error_position_X ,MAX_ABS_U_Error_position_Y ,MAX_ABS_V_Error ,MAX_ABS_V_Error_position_X, MAX_ABS_V_Error_position_Y ,MAX_RS_Error ,MAX_RS_Error_Position_X ,MAX_RS_Error_Position_Y ,Bulk_Velocity_ABS_Error ,Bulk_Velocity_ABS_Error_Position_X ,Bulk_Velocity_ABS_Error_Position_Y
226001,59.717,0.7198,0.0309982,403,191,0.0560416,367,432,65.5187,401,170,0.00287421,168,436,
227001,59.9813,0.901132,0.0266702,152,435,0.0527872,367,432,124.369,241,341,0.0032311,189,436,
228001,60.2455,0.987373,0.0501558,167,435,0.0512521,436,98,122.227,376,160,0.00564382,167,435,
229001,60.5097,1.23218,0.0422338,176,434,0.0499453,421,89,195.234,510,146,0.00536523,175,435,
230001,60.774,1.18007,0.0421379,206,435,0.0492071,403,83,266.089,527,112,0.00594051,206,435,
231001,61.0382,1.69347,0.053804,215,435,0.0487397,383,78,510.394,138,432,0.0074597,215,435,
232001,61.3024,1.0664,0.0526972,208,435,0.0681782,212,433,171.15,479,208,0.00718741,208,435,
233001,61.5667,1.19529,0.053073,208,435,0.066784,212,433,281.657,119,418,0.00722069,245,435,
234001,61.8309,1.15677,0.0517748,245,435,0.0605757,249,432,252.822,492,182,0.0074096,245,435,
235001,62.0951,1.20102,0.0474913,228,435,0.0566517,288,432,380.098,508,150,0.00637772,228,435,
236001,62.3594,1.26644,0.0438212,250,435,0.0574561,248,432,317.809,524,118,0.0065875,250,435,
237001,62.6236,0.924087,0.0447975,288,435,0.0509639,285,432,171.259,527,112,0.00658553,288,435,
238001,62.8878,1.38445,0.0460818,336,434,0.0434501,405,348,376.88,563,40,0.00659789,324,435,
239001,63.1521,0.913067,0.0471182,349,435,0.0517659,355,432,139.001,299,420,0.00689547,349,435,
240001,63.4163,0.908834,0.0478184,366,423,0.0482721,384,394,107.559,409,200,0.00534034,344,435,
241001,63.6805,1.28774,0.0501003,378,403,0.0427635,377,401,302.259,145,151,0.00507731,369,425,
242001,63.9448,1.12897,0.0521116,403,349,0.0500715,385,384,176.386,214,13,0.00515174,328,435,
243001,64.209,1.47099,0.0467258,398,355,0.051707,411,328,293.736,449,264,0.00608894,343,435,
244001,64.4732,1.24631,0.0666482,372,408,0.0573628,420,307,230.967,322,19,0.00776085,373,409,
245001,64.7375,1.44542,0.0583079,413,310,0.0604476,386,361,412.506,346,364,0.00612689,377,401,
246001,65.0017,1.58963,0.0772261,390,359,0.0490222,405,342,472.48,367,434,0.00341125,381,391,
247001,65.2659,0.967956,0.065667,401,339,0.0676577,404,345,192.483,181,389,0.00361798,388,358,
