Itterate ,Time ,RMS_Error ,MAX_ABS_U_Error ,MAX_ABS_U_Error_position_X ,MAX_ABS_U_Error_position_Y ,MAX_ABS_V_Error ,MAX_ABS_V_Error_position_X, MAX_ABS_V_Error_position_Y ,MAX_RS_Error ,MAX_RS_Error_Position_X ,MAX_RS_Error_Position_Y ,Bulk_Velocity_ABS_Error ,Bulk_Velocity_ABS_Error_Position_X ,Bulk_Velocity_ABS_Error_Position_Y
170001,171.727,1.87541,0.0255579,146,2,0.0274849,153,20,111.942,89,6,0.00170295,146,20,
171001,172.737,0.904025,0.0239695,141,2,0.0246198,156,18,41.9083,22,99,0.00116163,153,21,
172001,173.747,0.893138,0.0264339,144,2,0.0292538,156,22,34.879,22,101,0.00136677,155,24,
173001,174.757,1.1672,0.0197847,133,2,0.024807,149,16,103.031,178,2,0.00166486,148,23,
174001,175.768,2.18915,0.0209424,159,3,0.0180876,43,61,227.673,50,44,0.00107032,129,3,
175001,176.778,1.57482,0.0162116,156,18,0.0239679,152,21,150.391,68,12,0.00115786,150,18,
176001,177.788,2.35352,0.0297422,159,3,0.0346051,154,21,161.346,82,5,0.00169996,146,21,
177001,178.798,1.17788,0.0291023,145,2,0.0254781,149,11,111.123,62,20,0.00171337,148,22,
178001,179.808,0.879254,0.0278555,128,3,0.0177234,149,14,64.8433,59,26,0.0016419,128,3,
179001,180.818,0.737307,0.019108,71,27,0.0205188,154,24,32.0303,108,1,0.00140504,147,23,
180001,181.828,1.399,0.0217266,161,20,0.0268484,58,31,45.6686,80,1,0.0015437,146,21,
181001,182.839,1.41619,0.0235765,144,2,0.0228031,155,19,162.711,54,36,0.00138166,124,3,
182001,183.849,1.02908,0.0220583,143,2,0.0223505,154,20,67.6557,17,109,0.00120197,123,3,
183001,184.859,1.0096,0.0248027,141,2,0.0247775,153,20,58.0097,71,4,0.00140158,152,22,
184001,185.869,0.895455,0.0320277,141,2,0.0278564,155,19,29.0425,63,18,0.00129417,153,23,
185001,186.879,1.28864,0.0196917,144,5,0.0191498,162,13,77.7423,69,6,0.00114268,148,23,
186001,187.889,0.86067,0.0194735,158,22,0.0154913,43,61,28.9623,159,26,0.00130043,141,13,
187001,188.9,0.685164,0.0180924,161,5,0.0162449,43,61,25.9746,19,105,0.000940663,43,61,
188001,189.91,1.09446,0.0199543,156,3,0.0255143,157,11,39.5292,22,106,0.00112121,46,55,
189001,190.92,2.74686,0.0290081,158,3,0.0263878,155,19,317.211,73,16,0.00181124,145,20,
190001,191.93,4.13884,0.0256072,141,2,0.0354663,155,20,477.58,17,109,0.00179002,145,20,
191001,192.94,1.00596,0.0302583,142,2,0.0226537,153,21,32.9655,169,16,0.00130237,143,18,
192001,193.95,1.42034,0.0183286,152,7,0.0216051,150,19,72.2904,78,9,0.00123531,143,18,
193001,194.96,1.02662,0.018087,137,2,0.0303262,151,19,56.6828,70,6,0.00151998,143,17,
194001,195.971,1.54789,0.0339053,138,2,0.0329509,153,18,90.4822,150,5,0.00169354,144,18,
195001,196.981,0.810807,0.031886,159,3,0.0289832,157,18,37.8176,23,99,0.00153068,144,20,
196001,197.991,1.25667,0.0276391,145,2,0.0286623,155,20,70.2663,171,24,0.00153147,144,20,
197001,199.001,0.811485,0.0335215,145,2,0.0263429,154,22,25.5151,24,100,0.001722,146,19,
198001,200.011,1.44396,0.0282979,144,2,0.0221436,146,14,67.4489,81,6,0.00144306,147,21,
199001,201.021,1.2624,0.0208342,143,2,0.0293106,154,20,121.872,71,3,0.00151592,146,21,
200001,202.032,2.28721,0.0291676,142,2,0.037394,155,19,214.212,50,44,0.00166562,145,19,
201001,203.042,1.7277,0.0307247,141,2,0.0250215,156,18,80.1865,73,2,0.00157954,145,19,
202001,204.052,0.892838,0.017219,162,4,0.0150277,44,59,79.3733,62,20,0.000933782,118,4,
203001,205.062,1.09531,0.0178083,67,30,0.0210943,149,18,43.5405,182,9,0.00114183,141,17,
204001,206.072,2.92749,0.0323585,152,2,0.0356692,153,15,330.821,76,12,0.00171583,141,16,
205001,207.082,1.76574,0.0348796,155,2,0.0234861,150,19,117.435,180,1,0.00128754,151,25,
206001,208.092,1.77516,0.0237446,150,4,0.0270174,150,15,176.486,17,109,0.00142731,149,25,
207001,209.103,1.03284,0.0214556,135,2,0.0275966,150,19,76.0451,23,98,0.00150682,143,17,
208001,210.113,6.10784,0.0299239,160,15,0.0296772,153,20,722.061,162,1,0.00150237,152,27,
209001,211.123,0.677191,0.0246794,163,16,0.0199243,157,19,40.9318,6,131,0.00143545,147,21,
210001,212.133,1.49728,0.0186345,141,2,0.0176037,156,34,136.787,63,18,0.00107047,120,4,
211001,213.143,1.04229,0.0171702,147,6,0.0212446,148,19,63.2116,78,7,0.00142419,141,16,
212001,214.153,1.18228,0.0249069,157,3,0.0349848,153,19,42.7049,157,1,0.0016053,141,18,
213001,215.164,1.32694,0.0284928,159,3,0.0341585,153,19,58.6347,164,19,0.00181005,144,19,
214001,216.174,1.02308,0.0310757,141,2,0.0383958,154,20,34.8674,138,1,0.00179726,144,19,
215001,217.184,1.87535,0.0293041,141,2,0.021226,51,44,112.165,182,10,0.001275,145,18,
216001,218.194,1.39266,0.0172259,67,31,0.0207408,155,24,108.394,79,10,0.0010529,148,24,
217001,219.204,1.25248,0.0321899,160,3,0.0371969,156,22,54.0182,168,38,0.00176064,148,23,
218001,220.214,4.03467,0.0385399,150,2,0.0380752,151,15,321.36,132,2,0.00203312,149,23,
219001,221.224,1.75237,0.0370889,154,2,0.0260982,155,26,117.31,174,15,0.00157639,131,3,
220001,222.235,1.74123,0.0207706,147,2,0.0224558,154,23,161.205,111,1,0.00132992,86,21,
221001,223.245,1.03237,0.0244915,146,2,0.0283265,60,27,34.5963,85,1,0.00106463,47,54,
222001,224.255,1.60202,0.013073,157,18,0.022873,161,12,132.893,82,3,0.000868747,48,51,
223001,225.265,1.04129,0.0210016,162,12,0.029556,154,16,40.0152,28,90,0.00147829,152,22,
224001,226.275,2.69578,0.030328,160,3,0.0332204,154,19,285.168,183,1,0.00146886,152,23,
225001,227.285,0.785785,0.0225056,143,2,0.0172361,146,11,40.7169,61,22,0.00102539,139,12,
226001,228.295,0.818251,0.0193749,163,13,0.0189764,155,15,37.6993,25,97,0.000993654,122,3,
227001,229.306,1.07128,0.0232702,141,2,0.0279817,152,18,43.0882,159,1,0.00132304,144,18,
228001,230.316,0.942372,0.0204015,138,2,0.0239299,152,20,35.6091,56,32,0.00123644,146,20,
229001,231.326,1.26634,0.0246126,138,2,0.0216828,155,17,50.6889,70,17,0.00128803,146,21,
230001,232.336,1.86567,0.0187428,158,3,0.0184588,146,13,208.353,183,8,0.00135643,146,20,
231001,233.346,1.20005,0.015641,124,3,0.0151271,147,12,93.0308,51,42,0.00109494,124,3,
232001,234.356,0.879673,0.0155122,69,28,0.0179132,156,28,76.5014,173,28,0.00096064,155,30,
233001,235.367,2.53765,0.0349019,151,2,0.0408613,154,13,273.597,61,22,0.00169521,152,19,
234001,236.377,1.16531,0.0379202,155,2,0.025452,156,26,40.1233,23,98,0.00141922,112,5,
235001,237.387,0.921934,0.0183896,145,4,0.0308185,156,25,31.5779,160,28,0.00154708,155,26,
236001,238.397,1.00125,0.0221194,161,22,0.0231148,156,26,35.0779,89,1,0.00122684,155,28,
237001,239.407,2.10523,0.0188722,142,2,0.0174664,145,10,141.927,63,18,0.00117646,127,3,
238001,240.417,0.825781,0.0244904,161,3,0.0201768,163,9,22.484,72,15,0.00109746,138,12,
239001,241.427,0.861723,0.0164983,69,29,0.0151443,53,41,37.8456,66,15,0.00098653,119,4,
240001,242.438,0.593458,0.0168729,160,4,0.0180923,43,61,13.021,92,7,0.00102521,144,17,
241001,243.448,1.63223,0.0167961,69,28,0.016763,55,37,122.026,95,2,0.000889917,43,62,
242001,244.458,1.56898,0.0178781,163,5,0.0168881,45,57,99.626,76,8,0.000940418,45,58,
243001,245.468,1.34007,0.0253805,158,3,0.0266555,160,9,75.0146,69,14,0.00134048,144,20,
244001,246.478,0.958314,0.0153906,163,17,0.0142103,159,21,78.6571,78,13,0.000774466,116,4,
245001,247.488,0.92373,0.0163127,157,13,0.0156866,151,17,65.8442,22,99,0.000937294,149,27,
246001,248.499,1.1211,0.0165924,158,12,0.0217686,147,15,61.0661,96,3,0.00125904,140,15,
247001,249.509,0.993579,0.0207255,158,3,0.0319256,147,16,39.3035,72,7,0.00167347,147,18,
248001,250.519,2.9415,0.0519282,150,2,0.0482556,153,13,351.353,55,34,0.00214218,151,18,
